Emp_Id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
IND18272,73%,87%,5,257,5,0,1,0,IT,low
IND05552,9%,96%,6,245,4,0,1,0,IT,low
IND18930,45%,53%,2,155,3,0,1,0,IT,low
IND21059,11%,80%,6,256,4,0,1,0,IT,low
IND30847,37%,47%,2,152,3,0,1,0,product_mng,low
IND37054,84%,99%,4,267,5,0,1,0,product_mng,low
IND01497,41%,46%,2,151,3,0,1,0,product_mng,low
IND09083,76%,92%,4,239,5,0,1,0,product_mng,low
IND02261,11%,87%,6,306,4,0,1,0,IT,low
IND16957,84%,88%,4,263,5,1,1,0,marketing,low
IND17000,39%,50%,2,147,3,0,1,0,marketing,low
IND44713,11%,91%,6,278,4,0,1,0,marketing,low
IND21308,45%,56%,2,154,3,0,1,0,marketing,low
IND16549,37%,52%,2,143,3,0,1,0,marketing,low
IND16885,40%,52%,2,155,3,0,1,0,marketing,low
IND0303,39%,48%,2,160,3,0,1,0,sales,low
IND09693,11%,80%,6,304,4,0,1,0,accounting,low
IND15384,83%,100%,5,240,5,0,1,0,support,low
IND23381,11%,92%,6,305,4,0,1,0,technical,low
IND26259,39%,50%,2,136,3,0,1,0,management,low
IND14788,45%,45%,2,132,3,0,1,0,marketing,low
IND44000,10%,95%,7,301,4,0,1,0,marketing,low
IND14758,90%,98%,5,243,6,0,1,0,marketing,low
IND20741,45%,51%,2,147,3,0,1,0,sales,low
IND21140,79%,89%,5,239,5,0,1,0,sales,low
IND26885,90%,99%,5,260,5,0,1,0,sales,low
IND06026,11%,84%,7,296,4,0,1,0,sales,low
IND10990,43%,55%,2,129,3,0,1,0,sales,low
IND28377,31%,54%,5,132,5,0,1,0,sales,low
IND10806,32%,50%,2,135,5,0,1,0,sales,low
IND03259,45%,57%,2,158,3,0,1,0,sales,low
IND03963,81%,99%,4,259,5,0,1,0,sales,low
IND04181,41%,46%,2,160,3,0,1,1,sales,low
IND31430,11%,78%,7,278,4,0,1,0,sales,low
IND31870,10%,88%,6,284,4,0,1,0,sales,low
IND44113,70%,53%,2,274,4,0,1,0,sales,low
IND02033,54%,74%,4,164,2,0,1,0,sales,low
IND34753,41%,48%,2,148,3,0,1,0,sales,low
IND35044,38%,50%,2,140,3,0,1,0,sales,medium
IND17131,37%,51%,2,127,3,0,1,0,sales,medium
IND29549,11%,85%,6,308,5,0,1,0,sales,medium
IND06962,40%,47%,2,146,3,0,1,0,sales,medium
IND08956,10%,84%,6,261,4,0,1,0,accounting,medium
IND23874,89%,99%,5,257,5,0,1,0,accounting,medium
IND28320,11%,80%,6,285,4,0,1,0,accounting,medium
IND43812,36%,55%,2,141,3,0,1,0,hr,medium
IND02857,40%,46%,2,127,3,0,1,0,hr,medium
IND09513,9%,85%,6,297,4,0,1,0,hr,medium
IND33556,40%,46%,2,143,3,0,1,0,hr,medium
IND38080,37%,55%,2,152,3,0,1,0,technical,medium
IND43469,44%,51%,2,156,3,0,1,0,technical,high
IND13463,9%,80%,7,283,5,0,1,0,technical,low
IND42799,92%,87%,4,226,6,1,1,0,technical,medium
IND44570,74%,91%,4,232,5,0,1,0,technical,medium
IND33860,9%,82%,6,249,4,0,1,0,technical,medium
IND39257,89%,95%,4,275,5,0,1,0,technical,medium
IND28422,9%,80%,6,304,4,0,1,0,technical,low
IND12179,27%,54%,7,278,3,0,1,0,technical,low
IND16585,10%,91%,6,287,4,0,1,0,technical,low
IND25094,10%,89%,7,285,4,0,1,0,technical,low
IND18533,77%,94%,5,226,6,0,1,0,support,low
IND30817,90%,82%,5,259,5,0,1,0,support,low
IND06625,39%,50%,2,135,3,0,1,0,support,low
IND17330,76%,100%,5,219,5,0,1,0,support,low
IND26672,10%,93%,6,256,4,0,1,0,support,low
IND16687,87%,90%,5,254,6,0,1,0,support,low
IND19503,38%,50%,2,153,3,0,1,0,support,low
IND41222,77%,99%,5,228,5,0,1,0,support,low
IND07024,78%,87%,4,228,5,0,1,0,support,low
IND07912,44%,50%,2,128,3,0,1,0,support,low
IND28692,38%,52%,2,153,3,0,1,0,support,low
IND29058,43%,46%,2,156,3,0,1,0,technical,low
IND43494,39%,50%,4,294,3,0,1,0,technical,low
IND30367,88%,100%,5,219,5,0,1,0,technical,low
IND08292,45%,46%,2,153,3,0,1,0,management,low
IND27207,40%,53%,2,151,3,0,1,0,IT,low
IND16191,36%,51%,2,155,3,0,1,0,IT,low
IND0682,36%,48%,2,158,3,0,1,0,IT,low
IND28726,90%,98%,5,245,5,0,1,0,IT,low
IND05052,43%,53%,2,131,3,0,1,0,IT,low
IND31328,89%,87%,5,225,5,0,1,0,product_mng,low
IND01489,10%,84%,6,286,4,0,1,0,product_mng,low
IND06073,37%,50%,2,135,3,0,1,0,product_mng,low
IND30496,37%,51%,2,153,3,0,1,0,product_mng,low
IND41140,87%,90%,5,252,5,0,1,0,IT,low
IND08304,40%,56%,2,149,3,0,1,0,accounting,low
IND12729,90%,97%,4,258,5,0,1,0,accounting,low
IND20887,37%,46%,2,158,3,0,1,0,hr,low
IND35561,44%,54%,2,149,3,0,1,0,hr,low
IND42660,85%,95%,5,236,5,0,1,0,hr,low
IND24369,78%,98%,5,239,6,0,1,0,marketing,low
IND13224,42%,47%,2,159,3,0,1,0,marketing,low
IND14406,92%,99%,5,255,6,0,1,0,sales,low
IND34424,11%,83%,6,244,4,0,1,0,accounting,low
IND27347,42%,56%,2,134,3,0,1,0,support,low
IND35173,48%,57%,4,270,4,0,1,0,technical,low
IND38184,83%,85%,4,255,5,0,1,0,management,low
IND40084,40%,53%,2,151,3,0,1,0,marketing,low
IND06645,43%,45%,2,135,3,0,1,0,marketing,low
IND13460,43%,53%,2,146,3,0,1,0,marketing,low
IND29291,10%,97%,7,254,4,0,1,0,sales,low
IND42842,10%,87%,7,289,4,0,1,0,sales,low
IND10790,37%,46%,2,156,3,0,1,0,sales,low
IND36333,38%,53%,2,156,3,0,1,0,sales,low
IND09285,40%,50%,2,128,3,0,1,0,sales,low
IND04368,89%,86%,5,275,5,0,1,0,sales,low
IND16033,45%,46%,2,155,3,0,1,0,sales,low
IND18868,37%,48%,2,159,3,0,1,0,sales,low
IND17976,46%,49%,2,148,3,0,1,0,sales,low
IND31925,87%,91%,4,228,5,0,1,0,sales,low
IND0839,11%,84%,6,298,4,0,1,0,sales,low
IND36656,79%,87%,5,261,5,0,1,0,sales,low
IND38815,79%,92%,5,254,6,0,1,0,sales,low
IND05341,19%,59%,7,192,3,0,1,0,sales,low
IND20706,87%,98%,4,248,5,0,1,0,sales,low
IND29072,60%,92%,2,258,5,0,1,0,sales,low
IND37159,44%,45%,2,156,3,0,1,0,sales,medium
IND13032,11%,81%,6,266,4,1,1,0,sales,medium
IND19562,42%,54%,2,156,3,0,1,0,sales,medium
IND29613,88%,88%,5,232,5,1,1,0,accounting,medium
IND08344,11%,84%,6,287,4,0,1,0,accounting,medium
IND24283,46%,46%,2,154,3,0,1,0,accounting,medium
IND44438,82%,97%,5,263,5,0,1,0,hr,medium
IND30621,44%,56%,2,131,3,0,1,0,hr,medium
IND36430,11%,78%,6,260,4,0,1,0,hr,medium
IND0369,42%,50%,2,139,3,0,1,0,hr,medium
IND02505,84%,93%,4,251,5,0,1,0,technical,medium
IND36321,11%,95%,6,286,4,0,1,0,technical,medium
IND38100,45%,53%,2,129,3,0,1,0,technical,high
IND13212,38%,56%,2,156,3,0,1,0,technical,low
IND25228,38%,86%,6,139,6,0,1,0,technical,medium
IND35610,44%,51%,2,127,3,0,1,0,technical,medium
IND41403,11%,84%,6,251,4,0,1,0,technical,medium
IND44935,81%,93%,5,270,5,0,1,0,technical,medium
IND09041,9%,96%,6,296,4,0,1,0,technical,low
IND27858,11%,90%,6,254,4,0,1,0,technical,low
IND20480,81%,95%,5,238,6,0,1,0,technical,low
IND0818,10%,97%,6,267,4,1,1,0,support,low
IND10394,74%,89%,5,229,6,0,1,0,support,low
IND28413,9%,78%,6,254,4,0,1,0,support,low
IND28709,82%,81%,4,233,4,1,1,0,support,low
IND07271,10%,98%,6,268,4,0,1,0,support,low
IND07090,27%,56%,3,301,3,0,1,0,support,low
IND30375,83%,92%,5,267,6,0,1,0,support,low
IND19040,10%,93%,6,289,4,1,1,0,support,low
IND30483,38%,47%,2,144,3,0,1,0,support,low
IND40879,40%,56%,2,148,3,0,1,0,support,low
IND41938,11%,83%,6,306,4,0,1,0,support,low
IND07760,11%,79%,6,292,4,0,1,1,technical,low
IND03264,82%,91%,5,232,5,0,1,0,technical,low
IND06225,36%,48%,2,137,3,0,1,0,technical,low
IND35004,40%,46%,2,128,3,0,1,0,management,low
IND25762,87%,84%,5,231,5,0,1,0,IT,low
IND23892,41%,49%,2,146,3,0,1,0,IT,low
IND31584,11%,91%,6,308,4,1,1,0,IT,low
IND43337,10%,93%,6,253,4,0,1,0,IT,medium
IND12691,38%,51%,2,146,3,0,1,0,IT,medium
IND15509,39%,55%,2,156,3,0,1,0,product_mng,medium
IND24340,40%,52%,2,147,3,0,1,0,product_mng,medium
IND32788,45%,48%,2,136,3,0,1,0,product_mng,medium
IND03425,74%,84%,5,249,5,0,1,0,product_mng,medium
IND05837,45%,55%,2,151,3,0,1,0,IT,medium
IND35722,12%,100%,3,278,4,0,1,0,RandD,medium
IND23749,10%,77%,7,250,5,0,1,0,RandD,medium
IND048,37%,55%,2,127,3,0,1,0,RandD,medium
IND04733,89%,87%,5,255,5,0,1,0,RandD,medium
IND17963,45%,47%,2,135,3,0,1,0,RandD,medium
IND02462,37%,46%,2,149,3,0,1,0,marketing,high
IND25050,11%,81%,5,287,4,0,1,0,sales,low
IND33895,41%,48%,2,145,3,0,1,0,accounting,medium
IND36409,10%,94%,6,285,4,0,1,0,support,medium
IND38328,10%,93%,7,305,4,0,1,0,technical,medium
IND05005,11%,95%,7,300,4,0,1,0,management,medium
IND05284,40%,54%,2,139,3,0,1,0,marketing,low
IND31191,41%,49%,2,130,3,0,1,0,marketing,low
IND0636,10%,81%,6,268,4,0,1,0,marketing,low
IND09913,73%,86%,4,245,6,0,1,0,sales,low
IND45004,43%,47%,2,135,3,0,1,0,sales,low
IND21604,37%,46%,2,153,3,0,1,0,sales,low
IND17722,11%,94%,6,276,4,0,1,0,sales,low
IND35333,40%,46%,2,130,3,0,1,0,sales,low
IND36557,41%,54%,2,153,3,1,1,0,sales,low
IND21834,82%,84%,5,244,5,0,1,0,sales,low
IND41907,61%,47%,2,253,3,0,1,0,sales,low
IND31120,11%,91%,7,287,4,0,1,0,sales,low
IND01918,37%,45%,2,131,3,0,1,0,sales,low
IND20772,41%,52%,2,135,3,0,1,0,sales,low
IND08699,37%,52%,2,157,3,0,1,0,sales,low
IND31644,88%,99%,5,262,6,0,1,0,sales,low
IND37098,10%,85%,6,266,4,0,1,0,sales,low
IND35544,44%,48%,2,148,3,0,1,0,sales,low
IND18627,38%,57%,2,140,3,0,1,0,sales,low
IND30769,11%,85%,7,302,4,0,1,0,sales,low
IND33187,9%,98%,6,271,4,0,1,0,sales,low
IND07254,45%,52%,2,145,3,0,1,0,sales,medium
IND29466,10%,81%,6,290,4,0,1,0,accounting,medium
IND36017,45%,47%,2,151,3,0,1,0,accounting,medium
IND43579,77%,87%,5,266,5,0,1,0,accounting,medium
IND43393,44%,51%,2,140,3,0,1,0,hr,medium
IND02895,39%,50%,2,142,3,0,1,0,hr,medium
IND04984,10%,91%,6,246,4,0,1,0,hr,medium
IND11607,9%,89%,7,308,5,0,1,0,hr,medium
IND41347,37%,47%,2,141,3,0,1,0,technical,medium
IND02676,90%,100%,5,232,5,0,1,0,technical,medium
IND04698,41%,56%,2,143,3,0,1,0,technical,medium
IND20375,37%,52%,2,155,3,0,1,0,technical,medium
IND37284,10%,86%,6,278,4,0,1,0,technical,high
IND23482,81%,100%,4,253,5,0,1,0,technical,low
IND39285,11%,80%,6,282,4,0,1,0,technical,medium
IND04237,11%,84%,7,264,4,0,1,0,technical,medium
IND01864,40%,46%,2,149,3,0,1,0,technical,medium
IND02500,9%,80%,6,304,5,0,1,0,technical,medium
IND29143,48%,93%,3,219,6,0,1,0,technical,low
IND20937,91%,91%,4,262,6,0,1,0,support,low
IND05507,43%,57%,2,135,3,0,1,0,support,low
IND01,33%,88%,6,219,5,0,1,0,support,low
IND20035,41%,57%,2,136,3,0,1,0,support,low
IND06084,41%,55%,2,154,3,0,1,0,support,low
IND24666,37%,54%,2,149,3,0,1,0,support,low
IND25893,31%,62%,6,135,5,0,1,0,support,low
IND31280,9%,91%,6,275,4,0,1,0,support,low
IND41323,10%,87%,6,290,4,0,1,0,support,low
IND19003,76%,90%,4,263,5,0,1,0,support,low
IND09805,41%,54%,2,145,3,0,1,0,support,low
IND27257,72%,96%,5,267,5,0,1,0,technical,low
IND03850,40%,50%,2,141,3,1,1,0,technical,low
IND26902,91%,87%,4,235,5,0,1,0,technical,low
IND24156,10%,83%,6,258,4,0,1,0,management,low
IND37061,40%,56%,2,131,3,0,1,0,IT,low
IND38588,82%,86%,5,243,5,0,1,0,IT,low
IND03063,10%,82%,6,266,4,0,1,0,IT,low
IND13975,37%,45%,2,142,3,0,1,0,IT,low
IND40823,36%,51%,2,135,3,0,1,0,IT,low
IND01469,39%,48%,2,141,3,0,1,0,product_mng,medium
IND01656,36%,57%,2,142,3,0,1,0,product_mng,medium
IND12465,86%,84%,5,254,5,0,1,0,product_mng,medium
IND16382,73%,99%,5,262,5,0,1,0,product_mng,medium
IND17796,56%,71%,4,296,2,0,1,0,IT,medium
IND32278,44%,56%,2,158,3,0,1,0,accounting,medium
IND34555,31%,56%,4,238,2,0,1,0,accounting,medium
IND22783,77%,93%,4,231,5,0,1,0,hr,medium
IND0583,44%,45%,2,156,3,0,1,0,hr,medium
IND26226,38%,46%,2,145,3,0,1,0,hr,medium
IND37137,45%,48%,2,144,3,0,1,0,marketing,medium
IND13629,38%,51%,2,159,3,0,1,0,sales,medium
IND31613,36%,48%,2,156,3,0,1,0,accounting,high
IND38501,75%,90%,5,256,5,0,1,0,support,low
IND01958,10%,93%,6,298,4,0,1,0,technical,medium
IND10086,10%,97%,6,247,4,0,1,0,management,medium
IND24010,45%,50%,2,157,3,0,1,0,marketing,medium
IND27604,42%,57%,2,154,3,1,1,0,marketing,medium
IND27827,78%,100%,4,253,5,0,1,0,marketing,low
IND42944,45%,55%,2,148,3,0,1,0,sales,low
IND31899,84%,100%,4,261,5,0,1,0,sales,low
IND02723,11%,93%,6,282,4,0,1,0,sales,low
IND10009,42%,56%,2,133,3,0,1,0,sales,low
IND05076,45%,46%,2,128,3,0,1,0,sales,low
IND44741,46%,57%,2,139,3,0,1,0,sales,low
IND10776,9%,79%,6,293,5,0,1,0,sales,low
IND36436,87%,83%,4,265,6,0,1,0,sales,low
IND41623,10%,87%,6,250,4,0,1,0,sales,low
IND25674,91%,100%,5,251,6,0,1,0,sales,low
IND01773,76%,92%,4,246,5,0,1,0,sales,low
IND03668,74%,100%,5,275,5,0,1,0,sales,low
IND34514,92%,93%,5,240,5,0,1,0,sales,low
IND44563,76%,87%,5,245,5,0,1,0,sales,low
IND05806,47%,50%,4,254,4,0,1,0,sales,low
IND36010,73%,99%,5,241,5,0,1,0,sales,low
IND06087,9%,94%,6,257,4,0,1,0,sales,low
IND37459,91%,92%,4,246,5,0,1,0,sales,low
IND22464,82%,98%,4,233,5,0,1,0,sales,low
IND41760,28%,45%,6,218,4,0,1,0,accounting,low
IND37034,84%,99%,4,262,6,0,1,0,accounting,medium
IND18121,45%,53%,2,138,3,0,1,0,accounting,medium
IND33996,45%,54%,2,142,3,0,1,0,hr,medium
IND0350,91%,97%,5,233,5,0,1,0,hr,medium
IND35777,42%,48%,2,155,3,0,1,0,hr,medium
IND21927,82%,100%,4,229,6,0,1,0,hr,medium
IND36809,11%,90%,6,264,4,0,1,0,technical,medium
IND09677,42%,53%,3,199,4,0,1,0,technical,medium
IND08739,82%,85%,4,223,5,0,1,0,technical,medium
IND15989,9%,96%,6,268,4,0,1,0,technical,medium
IND38180,10%,94%,6,287,4,0,1,0,technical,medium
IND42344,86%,100%,5,257,5,0,1,0,technical,medium
IND08064,40%,46%,2,143,3,0,1,0,technical,high
IND37269,45%,46%,2,130,3,0,1,0,technical,low
IND42385,42%,51%,2,136,3,0,1,0,technical,medium
IND05142,74%,92%,4,261,5,0,1,0,technical,medium
IND36170,55%,60%,3,180,4,0,1,0,technical,medium
IND36678,37%,45%,2,126,3,0,1,0,support,medium
IND05300,41%,52%,2,127,3,1,1,0,support,low
IND36918,89%,65%,5,195,6,0,1,0,support,low
IND15685,41%,57%,2,160,3,0,1,0,support,low
IND18291,44%,51%,2,150,3,0,1,0,support,low
IND39292,87%,84%,4,264,6,0,1,0,support,low
IND16653,10%,84%,6,309,4,0,1,0,support,low
IND23120,41%,47%,2,135,3,0,1,0,support,low
IND30329,11%,85%,6,261,4,0,1,0,support,low
IND02012,43%,53%,2,160,3,0,1,0,support,low
IND14328,77%,90%,4,237,5,0,1,0,support,low
IND19845,41%,52%,2,136,3,0,1,0,technical,low
IND27485,41%,48%,2,139,3,0,1,0,technical,low
IND06978,36%,78%,2,151,4,0,1,0,technical,low
IND20346,77%,100%,5,229,5,0,1,0,management,low
IND26050,81%,98%,5,245,5,0,1,0,IT,low
IND12047,39%,54%,2,127,3,0,1,0,IT,low
IND23467,9%,94%,6,283,5,0,1,0,IT,low
IND05879,44%,46%,2,143,3,0,1,0,IT,low
IND32980,10%,84%,5,298,4,0,1,0,IT,low
IND04065,36%,48%,2,159,3,0,1,0,product_mng,low
IND08523,81%,92%,5,239,5,0,1,0,product_mng,low
IND18383,81%,90%,4,226,5,0,1,0,product_mng,medium
IND10597,85%,98%,5,248,5,0,1,0,product_mng,medium
IND21832,10%,87%,6,286,4,0,1,0,IT,medium
IND42704,37%,54%,2,145,3,0,1,0,RandD,medium
IND24889,9%,97%,7,254,4,1,1,0,RandD,medium
IND42455,44%,53%,2,127,3,0,1,0,RandD,medium
IND13842,86%,93%,5,223,5,0,1,0,RandD,medium
IND21827,77%,100%,4,255,5,0,1,0,RandD,medium
IND33940,41%,48%,2,136,3,0,1,0,marketing,medium
IND35104,40%,48%,2,137,3,0,1,0,sales,medium
IND12113,43%,49%,2,135,3,0,1,0,accounting,medium
IND19427,43%,50%,2,137,3,0,1,0,support,medium
IND37240,80%,53%,3,255,5,0,1,0,technical,high
IND42009,80%,85%,4,273,5,0,1,0,management,low
IND05309,82%,98%,5,234,5,0,1,0,marketing,medium
IND25359,37%,54%,2,152,3,0,1,0,marketing,medium
IND06000,37%,48%,2,134,3,0,1,0,marketing,medium
IND24351,9%,95%,6,292,4,0,1,0,sales,medium
IND07890,90%,92%,5,245,5,0,1,0,sales,low
IND08028,41%,52%,2,159,3,0,1,0,sales,low
IND24567,10%,85%,6,260,4,0,1,0,sales,low
IND43807,44%,53%,2,149,3,0,1,0,sales,low
IND17425,89%,85%,5,266,5,0,1,0,sales,low
IND19288,42%,56%,2,149,3,0,1,0,sales,low
IND17008,87%,100%,5,242,5,0,1,0,sales,low
IND15254,45%,57%,2,134,3,0,1,0,sales,low
IND10863,11%,87%,5,271,4,0,1,0,sales,low
IND22262,9%,79%,6,275,4,0,1,0,sales,low
IND34043,76%,83%,5,227,5,0,1,0,sales,low
IND31522,11%,96%,7,277,5,0,1,0,sales,low
IND24223,37%,49%,2,151,3,0,1,0,sales,low
IND36904,10%,79%,6,274,4,0,1,0,sales,low
IND10536,77%,87%,4,242,6,0,1,0,sales,low
IND25101,42%,54%,2,143,3,1,1,0,sales,low
IND17067,38%,52%,2,145,3,0,1,0,sales,low
IND22772,32%,95%,5,172,2,0,1,0,sales,low
IND23388,38%,49%,2,135,3,0,1,0,accounting,low
IND37431,19%,100%,4,192,4,0,1,0,accounting,low
